op;max_error;core_type;hash;size;flops;mean;dev;sum;sum2;n
sgemm;10;1;0b0dbeb1;12582912;0.000000e+00;4.352516e+01;1.471200e+00;1.019272e+06;4.441467e+07;23418
sgemm;10;1;0b0dbeb1;12582912;0.000000e+00;4.352516e+01;1.471200e+00;1.019272e+06;4.441467e+07;23418
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.328508e+04;6.724702e+02;1.164254e+06;2.713236e+10;50
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.294810e+04;4.243073e+02;1.216249e+06;2.792015e+10;53
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.316039e+04;5.796768e+02;1.134859e+06;2.630025e+10;49
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.305894e+04;5.022494e+02;1.199065e+06;2.766229e+10;52
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.297265e+04;4.482537e+02;1.263496e+06;2.903689e+10;55
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.316235e+04;4.617184e+02;1.181280e+06;2.737208e+10;51
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;2.319117e+04;6.125099e+02;1.159558e+06;2.691028e+10;50
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.778102e+04;5.652047e+02;2.657927e+06;1.535924e+11;46
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.776589e+04;5.638665e+02;2.657231e+06;1.535120e+11;46
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.771440e+04;6.123992e+02;2.654862e+06;1.532410e+11;46
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.774967e+04;6.166089e+02;2.425486e+06;1.400870e+11;42
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.757533e+04;9.250306e+02;2.590890e+06;1.492098e+11;45
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.752871e+04;1.020471e+03;2.646321e+06;1.522873e+11;46
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.784771e+04;6.194466e+02;2.603147e+06;1.506033e+11;45
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.761037e+04;6.597968e+02;2.477246e+06;1.427338e+11;43
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.785040e+04;6.428656e+02;2.545418e+06;1.472716e+11;44
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.772008e+04;6.449584e+02;2.539683e+06;1.466090e+11;44
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.783122e+04;6.043142e+02;2.544574e+06;1.471718e+11;44
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.785853e+04;5.116157e+02;2.545775e+06;1.473063e+11;44
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.786153e+04;6.324805e+02;2.545907e+06;1.473277e+11;44
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.784432e+04;5.468470e+02;2.545150e+06;1.472357e+11;44
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.774177e+04;5.661529e+02;2.482896e+06;1.433806e+11;43
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;5.765238e+04;9.158596e+02;2.479052e+06;1.429593e+11;43
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.516965e+03;2.312840e+02;9.516965e+04;9.062611e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.516965e+03;2.312840e+02;9.516965e+04;9.062611e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.084640e+03;3.578250e+01;9.084640e+04;8.253197e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.036240e+03;1.944102e+01;9.036240e+04;8.165401e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.067090e+03;1.858224e+01;9.067090e+04;8.221246e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.947744e+04;2.165897e+02;1.947744e+05;3.794176e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.035578e+03;1.922155e+01;9.035578e+04;8.164204e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.134737e+03;1.564918e+02;9.134737e+04;8.346791e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;9.051683e+03;2.110227e+01;9.051683e+04;8.193341e+08;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.928895e+04;9.302269e+01;1.928895e+05;3.720723e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.929124e+04;8.906389e+01;1.929124e+05;3.721600e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.924009e+04;6.257969e+00;1.924009e+05;3.701810e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.939697e+04;2.580706e+02;1.939697e+05;3.763090e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.926735e+04;6.026235e+01;1.926735e+05;3.712345e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.924055e+04;4.491245e+00;1.924055e+05;3.701986e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.934254e+04;1.210222e+02;1.934254e+05;3.741484e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.927843e+04;7.103214e+01;1.927843e+05;3.716629e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.924909e+04;3.534735e+00;1.924909e+05;3.705273e+09;10
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.924981e+04;2.086206e+00;7.699924e+04;1.482221e+09;4
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.531761e+03;2.739434e+01;1.106352e+05;6.120226e+08;20
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.531761e+03;2.739434e+01;1.106352e+05;6.120226e+08;20
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.525430e+03;1.225830e+02;9.393231e+04;5.192719e+08;17
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.614437e+03;1.656033e+02;7.298768e+04;4.101412e+08;13
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;4.485144e+03;1.060476e+01;4.485144e+04;2.011663e+08;10
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.537848e+03;1.784356e+01;1.107570e+05;6.133617e+08;20
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;4.485615e+03;7.920624e+00;5.831300e+04;2.615705e+08;13
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.847241e+03;4.810667e+01;8.186138e+04;4.786956e+08;14
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.530606e+03;6.465354e+01;5.751830e+05;3.181545e+09;104
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;8.977016e+03;5.099259e+02;1.167012e+05;1.051009e+09;13
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;8.227386e+03;3.041364e+02;1.234108e+05;1.016736e+09;15
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;8.269780e+03;3.492761e+02;1.157769e+05;9.591575e+08;14
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.525992e+03;4.345318e+01;5.691771e+05;3.145463e+09;103
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.517490e+03;6.583509e+00;5.683014e+05;3.135602e+09;103
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;9.348807e+03;2.113804e+02;1.495809e+05;1.399118e+09;16
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;9.325701e+03;3.959596e+02;1.958397e+05;1.829635e+09;21
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;9.210525e+03;3.534520e+02;1.565789e+05;1.444298e+09;17
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;9.244799e+03;3.152271e+02;1.016928e+05;9.412225e+08;11
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;9.429131e+03;2.848293e+02;1.037204e+05;9.788860e+08;11
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;9.051462e+03;3.772356e+02;9.051462e+04;8.207127e+08;10
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;5.539523e+03;6.598345e+01;5.705709e+05;3.161139e+09;103
