Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops;cudacore
0;dpotrf;24;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.035837e+01;1.132288e+03;nocuda
0;dpotrf;23;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;3.488208e+01;3.362375e+02;pcore
0;dpotrf;24;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;1.306006e+01;8.980555e+02;nocuda
0;dpotrf;24;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.478086e+01;7.935033e+02;nocuda
0;dpotrf;23;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;6.725179e+00;1.743992e+03;pcore
0;dpotrf;24;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;1.285062e+01;9.126920e+02;nocuda
0;dpotrf;24;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;3.173195e+01;3.696168e+02;nocuda
0;dpotrf;23;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;7.616463e+00;1.539909e+03;pcore
0;dpotrf;23;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;3.427528e+01;3.421901e+02;pcore
0;dpotrf;23;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;6.737788e+00;1.740729e+03;pcore
0;dpotrf;24;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.574252e+01;7.450307e+02;nocuda
0;dpotrf;23;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.718882e+00;1.519477e+03;pcore
0;dpotrf;23;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;9.651431e+00;1.215225e+03;pcore
0;dpotrf;23;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;7.687252e+00;1.525729e+03;pcore
0;dpotrf;23;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.988605e+00;1.468174e+03;pcore
0;dpotrf;24;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;9.658003e+00;1.214398e+03;nocuda
0;dpotrf;23;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.255220e+01;9.343908e+02;pcore
0;dpotrf;24;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;3.206142e+01;3.658186e+02;nocuda
0;dpotrf;23;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;8.639528e+00;1.357558e+03;pcore
0;dpotrf;24;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.592929e+00;1.222636e+03;nocuda
0;dpotrf;24;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.016513e+01;1.153813e+03;nocuda
0;dpotrf;23;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;7.792935e+00;1.505038e+03;pcore
0;dpotrf;24;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;9.387216e+00;1.249429e+03;nocuda
0;dpotrf;24;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;8.089479e+00;1.449866e+03;nocuda
0;dpotrf;23;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;6.738356e+00;1.740582e+03;pcore
