Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops
0;dpotrf;7;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;2.412402e+02;1.381769e+03
0;dpotrf;7;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;2.414058e+02;1.380821e+03
0;dpotrf;7;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;2.400962e+02;1.388353e+03
0;dpotrf;7;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;2.413704e+02;1.381024e+03
0;dpotrf;7;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;3.723709e+02;8.951783e+02
0;dpotrf;8;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;5.748211e+02;5.798993e+02
0;dpotrf;7;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;2.413413e+02;1.381191e+03
0;dpotrf;8;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;5.765008e+02;5.782097e+02
0;dpotrf;8;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;3.131680e+02;1.064407e+03
0;dpotrf;7;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;2.381638e+02;1.399618e+03
0;dpotrf;7;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;3.884765e+02;8.580657e+02
0;dpotrf;8;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;3.803377e+02;8.764272e+02
0;dpotrf;7;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;3.874355e+02;8.603712e+02
0;dpotrf;8;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;3.132517e+02;1.064123e+03
0;dpotrf;8;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;3.951413e+02;8.435928e+02
0;dpotrf;8;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;3.809920e+02;8.749221e+02
0;dpotrf;8;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;3.817585e+02;8.731655e+02
0;dpotrf;8;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;3.961549e+02;8.414344e+02
0;dpotrf;7;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;2.681550e+02;1.243081e+03
0;dpotrf;7;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;3.778131e+02;8.822837e+02
0;dpotrf;8;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;3.125775e+02;1.066418e+03
0;dpotrf;7;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;2.680950e+02;1.243359e+03
0;dpotrf;8;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;3.933028e+02;8.475360e+02
0;dpotrf;8;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;3.142321e+02;1.060803e+03
0;dpotrf;8;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;3.130848e+02;1.064690e+03
0;dpotrf;7;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;3.721631e+02;8.956782e+02
0;dpotrf;7;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;2.388015e+02;1.395880e+03
0;dpotrf;7;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;2.681164e+02;1.243260e+03
0;dpotrf;8;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;3.917262e+02;8.509472e+02
0;dpotrf;8;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;5.970579e+02;5.583015e+02
0;dpotrf;8;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;3.820784e+02;8.724344e+02
0;dpotrf;7;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;2.412868e+02;1.381502e+03
0;dpotrf;8;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;5.922658e+02;5.628188e+02
0;dpotrf;7;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;2.681231e+02;1.243229e+03
0;dpotrf;8;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;5.939434e+02;5.612291e+02
0;dpotrf;8;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;5.778753e+02;5.768343e+02
0;dpotrf;7;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;2.393508e+02;1.392677e+03
0;dpotrf;7;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;2.517351e+02;1.324163e+03
0;dpotrf;8;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;3.133600e+02;1.063755e+03
0;dpotrf;7;1;1;1;0;800;121;100000;100000;846930886;0.000000e+00;3.799379e+02;8.773496e+02
0;dpotrf;7;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;2.680493e+02;1.243571e+03
0;dpotrf;8;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;3.809865e+02;8.749348e+02
0;dpotrf;8;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;3.899263e+02;8.548753e+02
0;dpotrf;7;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;2.387041e+02;1.396450e+03
0;dpotrf;8;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;3.815262e+02;8.736970e+02
0;dpotrf;7;1;1;1;0;1250;121;100000;100000;846930886;0.000000e+00;2.682836e+02;1.242485e+03
0;dpotrf;8;1;1;1;0;1024;121;100000;100000;846930886;0.000000e+00;3.953585e+02;8.431293e+02
0;dpotrf;7;1;1;1;0;1500;121;100000;100000;846930886;0.000000e+00;2.414011e+02;1.380849e+03
