order,op,hash,size,flops,mean,dev,sum,sum2,n
1,sgemm,1,0b0dbeb1,12582912,0.000000e+00,5.465473e+01,7.297449e+00,1.095335e+06,6.093251e+07,20041
1,sgemm0,0b0dbeb1,12582912,0.000000e+00,3.673554e+04,2.294941e+02,2.057190e+07,7.557493e+11,560
1,sgetrf_nopiv,0,aa6d4ef7,4194304,0.000000e+00,1.759851e+04,6.949403e+01,1.108706e+06,1.951189e+10,63
1,splgsy,0,aa6d4ef7,4194304,0.000000e+00,7.129206e+03,2.253193e+02,1.504975e+07,1.074000e+11,2111
1,strsm,1,9a2d19a7,8388608,0.000000e+00,2.280800e+02,3.415001e+01,1.489362e+05,3.473092e+07,653
1,strsm,0,9a2d19a7,8388608,0.000000e+00,1.962254e+04,4.976968e+02,1.667916e+06,3.274979e+10,85

2,sgemm,1,0b0dbeb1,12582912,0.000000e+00,5.465473e+01,7.297449e+00,1.095335e+06,6.093251e+07,20041
2,sgemm,0,0b0dbeb1,12582912,0.000000e+00,3.673554e+04,2.294941e+02,2.057190e+07,7.557493e+11,560
2,sgetrf_nopiv,0,aa6d4ef7,4194304,0.000000e+00,1.759851e+04,6.949403e+01,1.108706e+06,1.951189e+10,63
2,splgsy,0,aa6d4ef7,4194304,0.000000e+00,7.129206e+03,2.253193e+02,1.504975e+07,1.074000e+11,2111
2,strsm,1,9a2d19a7,8388608,0.000000e+00,2.280800e+02,3.415001e+01,1.489362e+05,3.473092e+07,653
2,strsm,0,9a2d19a7,8388608,0.000000e+00,1.962254e+04,4.976968e+02,1.667916e+06,3.274979e+10,85

3,sgemm,1,0b0dbeb1,12582912,0.000000e+00,5.465473e+01,7.297449e+00,1.095335e+06,6.093251e+07,20041
3,sgemm,0,0b0dbeb1,12582912,0.000000e+00,3.673554e+04,2.294941e+02,2.057190e+07,7.557493e+11,560
3,sgetrf_nopiv,0,aa6d4ef7,4194304,0.000000e+00,1.759851e+04,6.949403e+01,1.108706e+06,1.951189e+10,63
3,splgsy,0,aa6d4ef7,4194304,0.000000e+00,7.129206e+03,2.253193e+02,1.504975e+07,1.074000e+11,2111
3,strsm,1,9a2d19a7,8388608,0.000000e+00,2.280800e+02,3.415001e+01,1.489362e+05,3.473092e+07,653
3,strsm,0,9a2d19a7,8388608,0.000000e+00,1.962254e+04,4.976968e+02,1.667916e+06,3.274979e+10,85

4,sgemm,1,0b0dbeb1,12582912,0.000000e+00,5.465473e+01,7.297449e+00,1.095335e+06,6.093251e+07,20041
4,sgemm,0,0b0dbeb1,12582912,0.000000e+00,3.673554e+04,2.294941e+02,2.057190e+07,7.557493e+11,560
4,sgetrf_nopiv,0,aa6d4ef7,4194304,0.000000e+00,1.759851e+04,6.949403e+01,1.108706e+06,1.951189e+10,63
4,splgsy,0,aa6d4ef7,4194304,0.000000e+00,7.129206e+03,2.253193e+02,1.504975e+07,1.074000e+11,2111
4,strsm,1,9a2d19a7,8388608,0.000000e+00,2.280800e+02,3.415001e+01,1.489362e+05,3.473092e+07,653
4,strsm,0,9a2d19a7,8388608,0.000000e+00,1.962254e+04,4.976968e+02,1.667916e+06,3.274979e+10,85

5,sgemm,1,0b0dbeb1,12582912,0.000000e+00,5.465473e+01,7.297449e+00,1.095335e+06,6.093251e+07,20041
5,sgemm,0,0b0dbeb1,12582912,0.000000e+00,3.673554e+04,2.294941e+02,2.057190e+07,7.557493e+11,560
5,sgetrf_nopiv,0,aa6d4ef7,4194304,0.000000e+00,1.759851e+04,6.949403e+01,1.108706e+06,1.951189e+10,63
5,splgsy,0,aa6d4ef7,4194304,0.000000e+00,7.129206e+03,2.253193e+02,1.504975e+07,1.074000e+11,2111
5,strsm,1,9a2d19a7,8388608,0.000000e+00,2.280800e+02,3.415001e+01,1.489362e+05,3.473092e+07,653
5,strsm,0,9a2d19a7,8388608,0.000000e+00,1.962254e+04,4.976968e+02,1.667916e+06,3.274979e+10,85
